INFO:root:Declined: Offer of 100 for Liereyy from  to None in league Test2.
INFO:root:Declined: Offer of 500 for Liereyy from Rikrik to None in league Test2.
INFO:root:Declined: Offer of 500 for Viper from Rikrik to None in league Test2.
INFO:root:Accepted: Offer of 100 for DauT from Rikrik to None in league Test2.
INFO:root:Declined: Offer of 500 for Liereyy from HS to None in league Test2.
INFO:root:Declined: Offer of 100 for TheMax from HS to None in league Test2.
INFO:root:Accepted: Offer of 500 for TheMax from HS to None in league Test2.
INFO:root:Declined: Offer of 900 for TheMax from TEamerino to None in league Test2.
INFO:root:Accepted: Offer of 900 for Liereyy from TEamerino to None in league Test2.
INFO:root:Declined: Offer of 500 for Liereyy from HS to None in league Test2.
INFO:root:Declined: Offer of 10 for Hera from TEamerino to None in league Test2.
INFO:root:Accepted: Offer of 0 for Rubenstock from HS to None in league Test2.
INFO:root:Accepted: Offer of 5 for Yo from TEamerino to None in league Test2.
INFO:root:Accepted: Offer of 15 for Paladin from Rikrik to None in league Test2.
INFO:root:Accepted: Offer of 20 for DauT from TEamerino to None in league Test2.
INFO:root:Declined: Offer of 20 for DauT from Rikrik to None in league Test2.
INFO:root:Accepted: Offer of 5 for Zuppi from Rikrik to None in league Test2.
INFO:root:Accepted: Offer of 0 for JorDan_AoE from TEamerino to None in league Test2.
INFO:root:Accepted: Offer of 10 for Vivi from Rikrik to None in league Test2.
